stream,stream_name,chunk_time,mediasample_time,device_time,chunk_time_delta_to_lastofstream,media_time_delta_to_lastofstream
5,OutPut_TagInfo,1698388827,1698388818,-1,-1,-1
4,Image1,1698405298,1698405034,-1,-1,-1
1,Image2,1698413649,1698413453,-1,-1,-1
2,Image0,1698428526,1698428325,-1,-1,-1
4,Image1,1698471963,1698471529,-1,66665,66495
1,Image2,1698480323,1698480123,-1,66674,66670
2,Image0,1698495186,1698494991,-1,66660,66666
4,Image1,1698538285,1698538086,-1,66322,66557
1,Image2,1698546978,1698546782,-1,66655,66659
2,Image0,1698561860,1698561666,-1,66674,66675
3,CMSAlgo,1698563043,1698563039,-1,-1,-1
4,Image1,1698605076,1698604786,-1,66791,66700
1,Image2,1698613641,1698613449,-1,66663,66667
2,Image0,1698628514,1698628320,-1,66654,66654
3,CMSAlgo,1698630854,1698630849,-1,67811,67810
4,Image1,1698671613,1698671418,-1,66537,66632
1,Image2,1698680325,1698680131,-1,66684,66682
2,Image0,1698695207,1698695011,-1,66693,66691
3,CMSAlgo,1698696678,1698696673,-1,65824,65824
4,Image1,1698738279,1698738082,-1,66666,66664
1,Image2,1698747040,1698746843,-1,66715,66712
2,Image0,1698761923,1698761729,-1,66716,66718
4,Image1,1698805273,1698804957,-1,66994,66875
1,Image2,1698813717,1698813526,-1,66677,66683
2,Image0,1698828597,1698828403,-1,66674,66674
4,Image1,1698871709,1698871513,-1,66436,66556
1,Image2,1698880397,1698880207,-1,66680,66681
